Al;13;26.982
Sb;51;121.76
Ar;18;39.948
As;33;74.922
Ba;56;137.33
Be;4;9.0122
Bi;83;208.98
B;5;10.806
Br;35;79.901
Cd;48;112.41
Cs;55;132.91
Ca;20;40.078
C;6;12.009
Ce;58;140.12
Cl;17;35.446
Cr;24;51.996
Co;27;58.933
Cu;29;63.546
Dy;66;162.50
Er;68;167.26
Eu;63;151.96
F;9;18.998
Gd;64;157.25
Ga;31;69.723
Ge;32;72.630
Au;79;196.97
Hf;72;178.49
He;2;4.0026
Ho;67;164.93
H;1;1.0078
In;49;114.82
I;53;126.90
Ir;77;192.22
Fe;26;55.845
Kr;36;83.798
La;57;138.91
Pb;82;207.2
Li;3;6.938
Lu;71;174.97
Mg;12;24.304
Mn;25;54.938
Hg;80;200.59
Mo;42;95.95
Nd;60;144.24
Ne;10;20.180
Ni;28;58.693
Nb;41;92.906
N;7;14.006
Os;76;190.23
O;8;15.999
Pd;46;106.42
P;15;30.974
Pt;78;195.08
K;19;39.098
Pr;59;140.91
Pa;91;231.04
Re;75;186.21
Rh;45;102.91
Rb;37;85.468
Ru;44;101.07
Sm;62;150.36
Sc;21;44.956
Se;34;78.971
Si;14;28.084 
Ag;47;107.87
Na;11;22.990
Sr;38;87.62
S;16;32.059
Ta;73;180.95
Te;52;127.60
Tb;65;158.93
Tl;81;204.38
Th;90;232.04
Tm;69;168.93
Sn;50;118.71
Ti;22;47.867
W;74;183.84
U;92;238.03
V;23;50.942
Xe;54;131.29
Yb;70;173.05
Y;39;88.906
Zn;30;65.38
Zr;40;91.224
